Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-22,AF,Afghanistan,EMRO,0,0,0,0
2020-01-23,AF,Afghanistan,EMRO,0,0,0,0
2020-01-24,AF,Afghanistan,EMRO,0,0,0,0
2020-01-25,AF,Afghanistan,EMRO,0,0,0,0
2020-01-26,AF,Afghanistan,EMRO,0,0,0,0
2020-01-27,AF,Afghanistan,EMRO,0,0,0,0
2020-01-28,AF,Afghanistan,EMRO,0,0,0,0
2020-01-29,AF,Afghanistan,EMRO,0,0,0,0
2020-01-30,AF,Afghanistan,EMRO,0,0,0,0
2020-01-31,AF,Afghanistan,EMRO,0,0,0,0
2020-02-01,AF,Afghanistan,EMRO,0,0,0,0
2020-02-02,AF,Afghanistan,EMRO,0,0,0,0
2020-02-03,AF,Afghanistan,EMRO,0,0,0,0
2020-02-04,AF,Afghanistan,EMRO,0,0,0,0
2020-02-05,AF,Afghanistan,EMRO,0,0,0,0
2020-02-06,AF,Afghanistan,EMRO,0,0,0,0
2020-02-07,AF,Afghanistan,EMRO,0,0,0,0
2020-02-08,AF,Afghanistan,EMRO,0,0,0,0
2020-02-09,AF,Afghanistan,EMRO,0,0,0,0
2020-02-10,AF,Afghanistan,EMRO,0,0,0,0
2020-02-11,AF,Afghanistan,EMRO,0,0,0,0
2020-02-12,AF,Afghanistan,EMRO,0,0,0,0
2020-02-13,AF,Afghanistan,EMRO,0,0,0,0
2020-02-14,AF,Afghanistan,EMRO,0,0,0,0
2020-02-15,AF,Afghanistan,EMRO,0,0,0,0
2020-02-16,AF,Afghanistan,EMRO,0,0,0,0
2020-02-17,AF,Afghanistan,EMRO,0,0,0,0
2020-02-18,AF,Afghanistan,EMRO,0,0,0,0
2020-02-19,AF,Afghanistan,EMRO,0,0,0,0
2020-02-20,AF,Afghanistan,EMRO,0,0,0,0
2020-02-21,AF,Afghanistan,EMRO,0,0,0,0
2020-02-22,AF,Afghanistan,EMRO,0,0,0,0
2020-02-23,AF,Afghanistan,EMRO,0,0,0,0
2020-02-24,AF,Afghanistan,EMRO,0,0,0,0
2020-02-25,AF,Afghanistan,EMRO,0,0,0,0
2020-02-26,AF,Afghanistan,EMRO,1,1,0,0
2020-02-27,AF,Afghanistan,EMRO,0,1,0,0
2020-02-28,AF,Afghanistan,EMRO,0,1,0,0
2020-02-29,AF,Afghanistan,EMRO,0,1,0,0
2020-03-01,AF,Afghanistan,EMRO,0,1,0,0
2020-03-02,AF,Afghanistan,EMRO,0,1,0,0
2020-03-03,AF,Afghanistan,EMRO,0,1,0,0
2020-03-04,AF,Afghanistan,EMRO,0,1,0,0
2020-03-05,AF,Afghanistan,EMRO,0,1,0,0
2020-03-06,AF,Afghanistan,EMRO,0,1,0,0
2020-03-07,AF,Afghanistan,EMRO,0,1,0,0
2020-03-08,AF,Afghanistan,EMRO,0,1,0,0
2020-03-09,AF,Afghanistan,EMRO,3,4,0,0
2020-03-10,AF,Afghanistan,EMRO,0,4,0,0
2020-03-11,AF,Afghanistan,EMRO,0,4,0,0
2020-03-12,AF,Afghanistan,EMRO,3,7,0,0
2020-03-13,AF,Afghanistan,EMRO,0,7,0,0
2020-03-14,AF,Afghanistan,EMRO,0,7,0,0
2020-03-15,AF,Afghanistan,EMRO,0,7,0,0
2020-03-16,AF,Afghanistan,EMRO,3,10,0,0
2020-03-17,AF,Afghanistan,EMRO,6,16,0,0
2020-03-18,AF,Afghanistan,EMRO,6,22,0,0
2020-03-19,AF,Afghanistan,EMRO,0,22,0,0
2020-03-20,AF,Afghanistan,EMRO,0,22,0,0
2020-03-21,AF,Afghanistan,EMRO,0,22,0,0
2020-03-22,AF,Afghanistan,EMRO,2,24,0,0
2020-03-23,AF,Afghanistan,EMRO,0,24,0,0
2020-03-24,AF,Afghanistan,EMRO,16,40,1,1
2020-03-25,AF,Afghanistan,EMRO,2,42,0,1
2020-03-26,AF,Afghanistan,EMRO,32,74,0,1
2020-03-27,AF,Afghanistan,EMRO,0,74,0,1
2020-03-28,AF,Afghanistan,EMRO,6,80,1,2
2020-03-29,AF,Afghanistan,EMRO,11,91,0,2
2020-03-30,AF,Afghanistan,EMRO,15,106,1,3
2020-03-31,AF,Afghanistan,EMRO,8,114,1,4
2020-04-01,AF,Afghanistan,EMRO,52,166,0,4
2020-04-02,AF,Afghanistan,EMRO,26,192,0,4
2020-04-03,AF,Afghanistan,EMRO,2,194,0,4
2020-04-04,AF,Afghanistan,EMRO,60,254,1,5
2020-04-05,AF,Afghanistan,EMRO,20,274,0,5
2020-04-06,AF,Afghanistan,EMRO,25,299,2,7
2020-04-07,AF,Afghanistan,EMRO,38,337,0,7
2020-04-08,AF,Afghanistan,EMRO,30,367,4,11
2020-04-09,AF,Afghanistan,EMRO,56,423,3,14
2020-04-10,AF,Afghanistan,EMRO,21,444,1,15
2020-04-11,AF,Afghanistan,EMRO,40,484,0,15
2020-04-12,AF,Afghanistan,EMRO,37,521,0,15
2020-04-13,AF,Afghanistan,EMRO,34,555,3,18
2020-04-14,AF,Afghanistan,EMRO,52,607,1,19
2020-04-15,AF,Afghanistan,EMRO,58,665,3,22
2020-04-16,AF,Afghanistan,EMRO,56,721,3,25
2020-04-17,AF,Afghanistan,EMRO,73,794,4,29
2020-04-18,AF,Afghanistan,EMRO,51,845,1,30
2020-04-19,AF,Afghanistan,EMRO,63,908,0,30
2020-04-20,AF,Afghanistan,EMRO,25,933,0,30
2020-04-21,AF,Afghanistan,EMRO,63,996,3,33
2020-04-22,AF,Afghanistan,EMRO,30,1026,3,36
2020-04-23,AF,Afghanistan,EMRO,66,1092,0,36
2020-04-24,AF,Afghanistan,EMRO,84,1176,4,40
2020-04-25,AF,Afghanistan,EMRO,50,1226,0,40
2020-04-26,AF,Afghanistan,EMRO,104,1330,3,43
2020-04-27,AF,Afghanistan,EMRO,133,1463,6,49
2020-04-28,AF,Afghanistan,EMRO,68,1531,1,50
2020-04-29,AF,Afghanistan,EMRO,172,1703,10,60
2020-04-30,AF,Afghanistan,EMRO,124,1827,0,60
2020-05-01,AF,Afghanistan,EMRO,110,1937,0,60
2020-05-02,AF,Afghanistan,EMRO,234,2171,4,64
2020-05-03,AF,Afghanistan,EMRO,0,2171,0,64
2020-05-04,AF,Afghanistan,EMRO,298,2469,8,72
2020-05-05,AF,Afghanistan,EMRO,0,2469,0,72
2020-05-06,AF,Afghanistan,EMRO,0,2469,0,72
2020-05-07,AF,Afghanistan,EMRO,755,3224,23,95
2020-05-08,AF,Afghanistan,EMRO,168,3392,9,104
2020-05-09,AF,Afghanistan,EMRO,171,3563,1,105
2020-05-10,AF,Afghanistan,EMRO,0,3563,0,105
2020-05-11,AF,Afghanistan,EMRO,478,4041,10,115
2020-05-12,AF,Afghanistan,EMRO,361,4402,4,119
2020-05-13,AF,Afghanistan,EMRO,262,4664,2,121
2020-05-14,AF,Afghanistan,EMRO,303,4967,6,127
2020-05-15,AF,Afghanistan,EMRO,259,5226,5,132
2020-05-16,AF,Afghanistan,EMRO,413,5639,4,136
2020-05-17,AF,Afghanistan,EMRO,414,6053,17,153
2020-05-18,AF,Afghanistan,EMRO,349,6402,15,168
2020-05-19,AF,Afghanistan,EMRO,262,6664,1,169
2020-05-20,AF,Afghanistan,EMRO,408,7072,4,173
2020-05-21,AF,Afghanistan,EMRO,581,7653,4,177
2020-05-22,AF,Afghanistan,EMRO,567,8220,12,189
2020-05-23,AF,Afghanistan,EMRO,910,9130,12,201
2020-05-24,AF,Afghanistan,EMRO,736,9866,10,211
2020-05-25,AF,Afghanistan,EMRO,716,10582,7,218
2020-05-26,AF,Afghanistan,EMRO,512,11094,1,219
2020-05-27,AF,Afghanistan,EMRO,737,11831,1,220
2020-05-28,AF,Afghanistan,EMRO,548,12379,6,226
2020-05-29,AF,Afghanistan,EMRO,637,13016,9,235
2020-05-30,AF,Afghanistan,EMRO,643,13659,11,246
2020-05-31,AF,Afghanistan,EMRO,784,14443,2,248
2020-06-01,AF,Afghanistan,EMRO,651,15094,2,250
2020-06-02,AF,Afghanistan,EMRO,656,15750,15,265
2020-06-03,AF,Afghanistan,EMRO,742,16492,5,270
2020-06-04,AF,Afghanistan,EMRO,775,17267,24,294
2020-06-05,AF,Afghanistan,EMRO,624,17891,5,299
2020-06-06,AF,Afghanistan,EMRO,1078,18969,10,309
2020-06-07,AF,Afghanistan,EMRO,582,19551,18,327
2020-06-08,AF,Afghanistan,EMRO,791,20342,30,357
2020-06-09,AF,Afghanistan,EMRO,575,20917,12,369
2020-06-10,AF,Afghanistan,EMRO,305,21222,7,376
2020-06-11,AF,Afghanistan,EMRO,920,22142,29,405
2020-06-12,AF,Afghanistan,EMRO,748,22890,21,426
2020-06-13,AF,Afghanistan,EMRO,656,23546,20,446
2020-06-14,AF,Afghanistan,EMRO,556,24102,5,451
2020-06-15,AF,Afghanistan,EMRO,664,24766,20,471
2020-06-16,AF,Afghanistan,EMRO,761,25527,5,476
2020-06-17,AF,Afghanistan,EMRO,106,25633,8,484
2020-06-18,AF,Afghanistan,EMRO,1241,26874,20,504
2020-06-19,AF,Afghanistan,EMRO,463,27337,42,546
2020-06-20,AF,Afghanistan,EMRO,541,27878,2,548
2020-06-21,AF,Afghanistan,EMRO,419,28297,0,548
