Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-22,IN,India,SEARO,0,0,0,0
2020-01-23,IN,India,SEARO,0,0,0,0
2020-01-24,IN,India,SEARO,0,0,0,0
2020-01-25,IN,India,SEARO,0,0,0,0
2020-01-26,IN,India,SEARO,0,0,0,0
2020-01-27,IN,India,SEARO,0,0,0,0
2020-01-28,IN,India,SEARO,0,0,0,0
2020-01-29,IN,India,SEARO,0,0,0,0
2020-01-30,IN,India,SEARO,1,1,0,0
2020-01-31,IN,India,SEARO,4,5,0,0
2020-02-01,IN,India,SEARO,0,5,0,0
2020-02-02,IN,India,SEARO,-3,2,0,0
2020-02-03,IN,India,SEARO,1,3,0,0
2020-02-04,IN,India,SEARO,4,7,0,0
2020-02-05,IN,India,SEARO,0,7,0,0
2020-02-06,IN,India,SEARO,0,7,0,0
2020-02-07,IN,India,SEARO,0,7,0,0
2020-02-08,IN,India,SEARO,0,7,0,0
2020-02-09,IN,India,SEARO,0,7,0,0
2020-02-10,IN,India,SEARO,0,7,0,0
2020-02-11,IN,India,SEARO,0,7,0,0
2020-02-12,IN,India,SEARO,0,7,0,0
2020-02-13,IN,India,SEARO,0,7,0,0
2020-02-14,IN,India,SEARO,0,7,0,0
2020-02-15,IN,India,SEARO,0,7,0,0
2020-02-16,IN,India,SEARO,0,7,0,0
2020-02-17,IN,India,SEARO,0,7,0,0
2020-02-18,IN,India,SEARO,0,7,0,0
2020-02-19,IN,India,SEARO,0,7,0,0
2020-02-20,IN,India,SEARO,0,7,0,0
2020-02-21,IN,India,SEARO,0,7,0,0
2020-02-22,IN,India,SEARO,0,7,0,0
2020-02-23,IN,India,SEARO,0,7,0,0
2020-02-24,IN,India,SEARO,0,7,0,0
2020-02-25,IN,India,SEARO,0,7,0,0
2020-02-26,IN,India,SEARO,0,7,0,0
2020-02-27,IN,India,SEARO,0,7,0,0
2020-02-28,IN,India,SEARO,0,7,0,0
2020-02-29,IN,India,SEARO,0,7,0,0
2020-03-01,IN,India,SEARO,0,7,0,0
2020-03-02,IN,India,SEARO,-2,5,0,0
2020-03-03,IN,India,SEARO,4,9,0,0
2020-03-04,IN,India,SEARO,19,28,0,0
2020-03-05,IN,India,SEARO,1,29,0,0
2020-03-06,IN,India,SEARO,2,31,0,0
2020-03-07,IN,India,SEARO,3,34,0,0
2020-03-08,IN,India,SEARO,5,39,0,0
2020-03-09,IN,India,SEARO,5,44,0,0
2020-03-10,IN,India,SEARO,6,50,0,0
2020-03-11,IN,India,SEARO,10,60,0,0
2020-03-12,IN,India,SEARO,13,73,0,0
2020-03-13,IN,India,SEARO,8,81,1,1
2020-03-14,IN,India,SEARO,3,84,1,2
2020-03-15,IN,India,SEARO,23,107,0,2
2020-03-16,IN,India,SEARO,7,114,0,2
2020-03-17,IN,India,SEARO,23,137,1,3
2020-03-18,IN,India,SEARO,14,151,0,3
2020-03-19,IN,India,SEARO,22,173,1,4
2020-03-20,IN,India,SEARO,50,223,0,4
2020-03-21,IN,India,SEARO,60,283,0,4
2020-03-22,IN,India,SEARO,77,360,3,7
2020-03-23,IN,India,SEARO,74,434,2,9
2020-03-24,IN,India,SEARO,85,519,0,9
2020-03-25,IN,India,SEARO,87,606,1,10
2020-03-26,IN,India,SEARO,43,649,3,13
2020-03-27,IN,India,SEARO,75,724,4,17
2020-03-28,IN,India,SEARO,185,909,2,19
2020-03-29,IN,India,SEARO,70,979,6,25
2020-03-30,IN,India,SEARO,92,1071,4,29
2020-03-31,IN,India,SEARO,180,1251,3,32
2020-04-01,IN,India,SEARO,386,1637,6,38
2020-04-02,IN,India,SEARO,328,1965,12,50
2020-04-03,IN,India,SEARO,336,2301,6,56
2020-04-04,IN,India,SEARO,601,2902,12,68
2020-04-05,IN,India,SEARO,472,3374,9,77
2020-04-06,IN,India,SEARO,693,4067,32,109
2020-04-07,IN,India,SEARO,354,4421,5,114
2020-04-08,IN,India,SEARO,853,5274,35,149
2020-04-09,IN,India,SEARO,591,5865,20,169
2020-04-10,IN,India,SEARO,547,6412,30,199
