Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-22,PK,Pakistan,EMRO,0,0,0,0
2020-01-23,PK,Pakistan,EMRO,0,0,0,0
2020-01-24,PK,Pakistan,EMRO,0,0,0,0
2020-01-25,PK,Pakistan,EMRO,0,0,0,0
2020-01-26,PK,Pakistan,EMRO,0,0,0,0
2020-01-27,PK,Pakistan,EMRO,0,0,0,0
2020-01-28,PK,Pakistan,EMRO,0,0,0,0
2020-01-29,PK,Pakistan,EMRO,0,0,0,0
2020-01-30,PK,Pakistan,EMRO,0,0,0,0
2020-01-31,PK,Pakistan,EMRO,0,0,0,0
2020-02-01,PK,Pakistan,EMRO,0,0,0,0
2020-02-02,PK,Pakistan,EMRO,0,0,0,0
2020-02-03,PK,Pakistan,EMRO,0,0,0,0
2020-02-04,PK,Pakistan,EMRO,0,0,0,0
2020-02-05,PK,Pakistan,EMRO,0,0,0,0
2020-02-06,PK,Pakistan,EMRO,0,0,0,0
2020-02-07,PK,Pakistan,EMRO,0,0,0,0
2020-02-08,PK,Pakistan,EMRO,0,0,0,0
2020-02-09,PK,Pakistan,EMRO,0,0,0,0
2020-02-10,PK,Pakistan,EMRO,0,0,0,0
2020-02-11,PK,Pakistan,EMRO,0,0,0,0
2020-02-12,PK,Pakistan,EMRO,0,0,0,0
2020-02-13,PK,Pakistan,EMRO,0,0,0,0
2020-02-14,PK,Pakistan,EMRO,0,0,0,0
2020-02-15,PK,Pakistan,EMRO,0,0,0,0
2020-02-16,PK,Pakistan,EMRO,0,0,0,0
2020-02-17,PK,Pakistan,EMRO,0,0,0,0
2020-02-18,PK,Pakistan,EMRO,0,0,0,0
2020-02-19,PK,Pakistan,EMRO,0,0,0,0
2020-02-20,PK,Pakistan,EMRO,0,0,0,0
2020-02-21,PK,Pakistan,EMRO,0,0,0,0
2020-02-22,PK,Pakistan,EMRO,0,0,0,0
2020-02-23,PK,Pakistan,EMRO,0,0,0,0
2020-02-24,PK,Pakistan,EMRO,0,0,0,0
2020-02-25,PK,Pakistan,EMRO,0,0,0,0
2020-02-26,PK,Pakistan,EMRO,0,0,0,0
2020-02-27,PK,Pakistan,EMRO,0,0,0,0
2020-02-28,PK,Pakistan,EMRO,2,2,0,0
2020-02-29,PK,Pakistan,EMRO,0,2,0,0
2020-03-01,PK,Pakistan,EMRO,0,2,0,0
2020-03-02,PK,Pakistan,EMRO,2,4,0,0
2020-03-03,PK,Pakistan,EMRO,0,4,0,0
2020-03-04,PK,Pakistan,EMRO,0,4,0,0
2020-03-05,PK,Pakistan,EMRO,1,5,0,0
2020-03-06,PK,Pakistan,EMRO,0,5,0,0
2020-03-07,PK,Pakistan,EMRO,0,5,0,0
2020-03-08,PK,Pakistan,EMRO,1,6,0,0
2020-03-09,PK,Pakistan,EMRO,0,6,0,0
2020-03-10,PK,Pakistan,EMRO,0,6,0,0
2020-03-11,PK,Pakistan,EMRO,1,7,0,0
2020-03-12,PK,Pakistan,EMRO,9,16,0,0
2020-03-13,PK,Pakistan,EMRO,3,19,0,0
2020-03-14,PK,Pakistan,EMRO,1,20,0,0
2020-03-15,PK,Pakistan,EMRO,1,21,0,0
2020-03-16,PK,Pakistan,EMRO,7,28,0,0
2020-03-17,PK,Pakistan,EMRO,3,31,0,0
2020-03-18,PK,Pakistan,EMRO,22,53,0,0
2020-03-19,PK,Pakistan,EMRO,134,187,0,0
2020-03-20,PK,Pakistan,EMRO,54,241,0,0
2020-03-21,PK,Pakistan,EMRO,61,302,2,2
2020-03-22,PK,Pakistan,EMRO,159,461,0,2
2020-03-23,PK,Pakistan,EMRO,34,495,1,3
2020-03-24,PK,Pakistan,EMRO,151,646,0,3
2020-03-25,PK,Pakistan,EMRO,138,784,2,5
2020-03-26,PK,Pakistan,EMRO,103,887,1,6
2020-03-27,PK,Pakistan,EMRO,104,991,1,7
2020-03-28,PK,Pakistan,EMRO,66,1057,1,8
2020-03-29,PK,Pakistan,EMRO,178,1235,1,9
2020-03-30,PK,Pakistan,EMRO,173,1408,2,11
2020-03-31,PK,Pakistan,EMRO,118,1526,2,13
2020-04-01,PK,Pakistan,EMRO,99,1625,5,18
2020-04-02,PK,Pakistan,EMRO,240,1865,7,25
2020-04-03,PK,Pakistan,EMRO,174,2039,1,26
2020-04-04,PK,Pakistan,EMRO,252,2291,5,31
2020-04-05,PK,Pakistan,EMRO,159,2450,4,35
2020-04-06,PK,Pakistan,EMRO,258,2708,5,40
2020-04-07,PK,Pakistan,EMRO,351,3059,5,45
2020-04-08,PK,Pakistan,EMRO,446,3505,6,51
2020-04-09,PK,Pakistan,EMRO,500,4005,3,54
2020-04-10,PK,Pakistan,EMRO,182,4187,4,58
2020-04-11,PK,Pakistan,EMRO,302,4489,5,63
2020-04-12,PK,Pakistan,EMRO,206,4695,3,66
2020-04-13,PK,Pakistan,EMRO,316,5011,20,86
2020-04-14,PK,Pakistan,EMRO,219,5230,5,91
2020-04-15,PK,Pakistan,EMRO,266,5496,2,93
2020-04-16,PK,Pakistan,EMRO,341,5837,3,96
2020-04-17,PK,Pakistan,EMRO,546,6383,15,111
2020-04-18,PK,Pakistan,EMRO,536,6919,17,128
2020-04-19,PK,Pakistan,EMRO,106,7025,7,135
2020-04-20,PK,Pakistan,EMRO,613,7638,8,143
2020-04-21,PK,Pakistan,EMRO,710,8348,25,168
2020-04-22,PK,Pakistan,EMRO,70,8418,8,176
2020-04-23,PK,Pakistan,EMRO,1147,9565,25,201
2020-04-24,PK,Pakistan,EMRO,511,10076,11,212
2020-04-25,PK,Pakistan,EMRO,981,11057,23,235
2020-04-26,PK,Pakistan,EMRO,883,11940,18,253
2020-04-27,PK,Pakistan,EMRO,704,12644,15,268
2020-04-28,PK,Pakistan,EMRO,684,13328,13,281
2020-04-29,PK,Pakistan,EMRO,587,13915,11,292
2020-04-30,PK,Pakistan,EMRO,697,14612,20,312
2020-05-01,PK,Pakistan,EMRO,857,15469,31,343
2020-05-02,PK,Pakistan,EMRO,1004,16473,18,361
2020-05-03,PK,Pakistan,EMRO,1226,17699,47,408
2020-05-04,PK,Pakistan,EMRO,1323,19022,29,437
2020-05-05,PK,Pakistan,EMRO,1062,20084,20,457
2020-05-06,PK,Pakistan,EMRO,857,20941,19,476
2020-05-07,PK,Pakistan,EMRO,1108,22049,38,514
2020-05-08,PK,Pakistan,EMRO,1165,23214,12,526
2020-05-09,PK,Pakistan,EMRO,1430,24644,59,585
2020-05-10,PK,Pakistan,EMRO,1791,26435,14,599
2020-05-11,PK,Pakistan,EMRO,2301,28736,37,636
2020-05-12,PK,Pakistan,EMRO,1598,30334,23,659
2020-05-13,PK,Pakistan,EMRO,607,30941,8,667
2020-05-14,PK,Pakistan,EMRO,1733,32674,57,724
2020-05-15,PK,Pakistan,EMRO,2624,35298,37,761
2020-05-16,PK,Pakistan,EMRO,490,35788,9,770
2020-05-17,PK,Pakistan,EMRO,1430,37218,33,803
2020-05-18,PK,Pakistan,EMRO,1581,38799,31,834
2020-05-19,PK,Pakistan,EMRO,1352,40151,39,873
2020-05-20,PK,Pakistan,EMRO,1974,42125,30,903
2020-05-21,PK,Pakistan,EMRO,1841,43966,36,939
2020-05-22,PK,Pakistan,EMRO,4125,48091,78,1017
2020-05-23,PK,Pakistan,EMRO,0,48091,0,1017
2020-05-24,PK,Pakistan,EMRO,4346,52437,84,1101
2020-05-25,PK,Pakistan,EMRO,2164,54601,32,1133
2020-05-26,PK,Pakistan,EMRO,1748,56349,34,1167
2020-05-27,PK,Pakistan,EMRO,1356,57705,30,1197
2020-05-28,PK,Pakistan,EMRO,1446,59151,28,1225
2020-05-29,PK,Pakistan,EMRO,2076,61227,35,1260
2020-05-30,PK,Pakistan,EMRO,2801,64028,57,1317
2020-05-31,PK,Pakistan,EMRO,2429,66457,78,1395
2020-06-01,PK,Pakistan,EMRO,3039,69496,88,1483
2020-06-02,PK,Pakistan,EMRO,2964,72460,60,1543
2020-06-03,PK,Pakistan,EMRO,3938,76398,78,1621
2020-06-04,PK,Pakistan,EMRO,4065,80463,67,1688
2020-06-05,PK,Pakistan,EMRO,4801,85264,82,1770
2020-06-06,PK,Pakistan,EMRO,3985,89249,68,1838
2020-06-07,PK,Pakistan,EMRO,4734,93983,97,1935
2020-06-08,PK,Pakistan,EMRO,4960,98943,67,2002
2020-06-09,PK,Pakistan,EMRO,4728,103671,65,2067
2020-06-10,PK,Pakistan,EMRO,4646,108317,105,2172
2020-06-11,PK,Pakistan,EMRO,5385,113702,83,2255
2020-06-12,PK,Pakistan,EMRO,5834,119536,101,2356
2020-06-13,PK,Pakistan,EMRO,5985,125521,107,2463
2020-06-14,PK,Pakistan,EMRO,6884,132405,88,2551
2020-06-15,PK,Pakistan,EMRO,6825,139230,81,2632
